customer_id,first_name,last_name,email,city,region,signup_date,loyalty_tier,acquisition_channel
C021881,Morgan,Garcia,morgan.garcia21881@example.com,Phoenix,West,2021-12-16,Silver,Paid Search
C006509,Cameron,Turner,cameron.turner6509@example.com,Nashville,South,2021-03-04,,Paid Search
C021458,Jordan,Brooks,jordan.brooks21458@example.com,New York,Northeast,2023-08-27,,Social
C020072,Sam,Turner,sam.turner20072@example.com,Denver,West,2025-10-19,,Paid Search
C027013,Parker,Brooks,parker.brooks27013@example.com,Dallas,South,2025-08-25,,Organic
C010093,Sam,Lee,sam.lee10093@example.com,Denver,West,2023-04-05,,Paid Search
C022568,Emerson,Rivera,emerson.rivera22568@example.com,Columbus,Midwest,2023-03-25,Silver,Paid Search
C012977,Avery,Rivera,avery.rivera12977@example.com,Los Angeles,West,2025-11-16,,Social
C003814,Sam,Chen,sam.chen3814@example.com,Nashville,South,2023-07-16,Silver,Social
C007338,Casey,Smith,casey.smith7338@example.com,Phoenix,West,2025-10-11,,Referral
C024484,Avery,Garcia,avery.garcia24484@example.com,Columbus,Midwest,2023-02-13,Silver,Organic
C019593,Casey,Martinez,casey.martinez19593@example.com,Portland,West,2024-07-08,,Paid Search
C005122,Alex,Patel,alex.patel5122@example.com,Chicago,Midwest,2023-10-21,Silver,Organic
C014906,Drew,Chen,drew.chen14906@example.com,Seattle,West,2025-02-16,,Paid Search
C008224,Taylor,Turner,taylor.turner8224@example.com,Philadelphia,Northeast,2022-08-31,Gold,Social
C002869,Kai,Lee,kai.lee2869@example.com,Indianapolis,Midwest,2024-11-29,Silver,Paid Search
C002343,Jordan,Kim,jordan.kim2343@example.com,Nashville,South,2025-04-04,Silver,Paid Search
C008833,Sam,Martinez,sam.martinez8833@example.com,Dallas,South,2023-08-09,Platinum,Organic
C007933,Avery,Turner,avery.turner7933@example.com,Charlotte,South,2025-08-27,Gold,Paid Search
C016558,Morgan,Kim,morgan.kim16558@example.com,Atlanta,South,2022-08-15,,Paid Search
C020605,Morgan,Turner,morgan.turner20605@example.com,Atlanta,South,2024-01-21,,Paid Search
C012984,Drew,Brooks,drew.brooks12984@example.com,Detroit,Midwest,2022-01-17,,Social
C003015,Kai,Rivera,kai.rivera3015@example.com,Philadelphia,Northeast,2025-09-10,,Organic
C027332,Quinn,Kim,quinn.kim27332@example.com,Atlanta,South,2025-06-03,Gold,Social
C012125,Parker,Adams,parker.adams12125@example.com,Phoenix,West,2022-10-15,,Paid Search
C003753,Jordan,Hughes,jordan.hughes3753@example.com,Detroit,Midwest,2025-05-30,Silver,Referral
C027388,Kai,Hughes,kai.hughes27388@example.com,Atlanta,South,2024-05-02,Silver,Referral
C012336,Sam,Johnson,sam.johnson12336@example.com,Boston,Northeast,2021-05-01,Gold,Paid Search
C011545,Sam,Johnson,sam.johnson11545@example.com,Boston,Northeast,2025-01-20,,Referral
C011357,Taylor,Kim,taylor.kim11357@example.com,Charlotte,South,2022-12-17,,Paid Search
C002677,Sam,Patel,sam.patel2677@example.com,Detroit,Midwest,2022-11-26,Silver,Paid Search
C028739,Avery,Turner,avery.turner28739@example.com,New York,Northeast,2025-03-30,Silver,Paid Search
C029996,Taylor,Adams,taylor.adams29996@example.com,Los Angeles,West,2022-02-21,Gold,Paid Search
C020748,Taylor,Hughes,taylor.hughes20748@example.com,New York,Northeast,2021-08-14,Silver,Retail Store
C013376,Avery,Garcia,avery.garcia13376@example.com,Los Angeles,West,2024-12-27,,Paid Search
C017987,Cameron,Johnson,cameron.johnson17987@example.com,Indianapolis,Midwest,2021-07-12,Silver,Paid Search
C007886,Cameron,Hughes,cameron.hughes7886@example.com,Detroit,Midwest,2024-02-11,,Paid Search
C013333,Avery,Lee,avery.lee13333@example.com,Austin,South,2024-10-02,Silver,Organic
C009586,Drew,Martinez,drew.martinez9586@example.com,Portland,West,2021-10-16,Platinum,Organic
C006333,Casey,Kim,casey.kim6333@example.com,Minneapolis,Midwest,2023-11-11,Gold,Paid Search
C024430,Avery,Rivera,avery.rivera24430@example.com,Indianapolis,Midwest,2021-01-23,,Paid Search
C018080,Kai,Kim,kai.kim18080@example.com,Atlanta,South,2023-01-23,,Social
C005202,Sam,Brooks,sam.brooks5202@example.com,Denver,West,2025-05-04,,Referral
C000748,Morgan,Rivera,morgan.rivera748@example.com,Phoenix,West,2023-02-14,,Referral
C009761,Sam,Adams,sam.adams9761@example.com,Seattle,West,2022-06-06,Silver,Social
C029613,Kai,Chen,kai.chen29613@example.com,Chicago,Midwest,2022-05-29,,Retail Store
C019993,Riley,Johnson,riley.johnson19993@example.com,Charlotte,South,2023-07-31,,Organic
C023190,Avery,Kim,avery.kim23190@example.com,Los Angeles,West,2024-07-05,,Organic
C025536,Quinn,Garcia,quinn.garcia25536@example.com,Los Angeles,West,2025-06-24,,Paid Search
C017964,Taylor,Hughes,taylor.hughes17964@example.com,Detroit,Midwest,2024-03-04,,Paid Search
C025247,Cameron,Brooks,cameron.brooks25247@example.com,Los Angeles,West,2022-10-04,,Social
C005082,Casey,Martinez,casey.martinez5082@example.com,Detroit,Midwest,2022-10-24,,Retail Store
C009351,Jordan,Davis,jordan.davis9351@example.com,Charlotte,South,2023-07-06,Platinum,Organic
C010983,Drew,Rivera,drew.rivera10983@example.com,Los Angeles,West,2022-09-01,Silver,Paid Search
C023622,Avery,Kim,avery.kim23622@example.com,New York,Northeast,2023-04-07,Gold,Social
C013236,Parker,Patel,parker.patel13236@example.com,Indianapolis,Midwest,2024-02-28,,Organic
C019368,Jordan,Rivera,jordan.rivera19368@example.com,Minneapolis,Midwest,2023-08-18,,Paid Search
C001191,Jordan,Turner,jordan.turner1191@example.com,Minneapolis,Midwest,2022-03-29,,Organic
C000822,Jordan,Johnson,jordan.johnson822@example.com,Charlotte,South,2023-03-29,Silver,Organic
C015879,Parker,Brooks,parker.brooks15879@example.com,Detroit,Midwest,2025-06-15,Silver,Social
C020498,Parker,Hughes,parker.hughes20498@example.com,Detroit,Midwest,2025-09-08,,Paid Search
C009420,Casey,Rivera,casey.rivera9420@example.com,Chicago,Midwest,2025-09-03,,Referral
C028101,Casey,Rivera,casey.rivera28101@example.com,Portland,West,2023-04-15,,Retail Store
C008893,Jordan,Martinez,jordan.martinez8893@example.com,Charlotte,South,2024-02-23,Silver,Organic
C004462,Drew,Davis,drew.davis4462@example.com,Denver,West,2024-08-07,Silver,Social
C025230,Avery,Chen,avery.chen25230@example.com,Atlanta,South,2023-04-04,Gold,Social
C029986,Alex,Rivera,alex.rivera29986@example.com,Indianapolis,Midwest,2023-02-07,,Social
C012607,Jordan,Kim,jordan.kim12607@example.com,Dallas,South,2021-04-29,Silver,Paid Search
C025979,Cameron,Rivera,cameron.rivera25979@example.com,Los Angeles,West,2024-06-24,Gold,Organic
C019133,Emerson,Brooks,emerson.brooks19133@example.com,New York,Northeast,2024-12-18,,Referral
C014741,Taylor,Davis,taylor.davis14741@example.com,Providence,Northeast,2021-01-08,,Social
C012147,Avery,Johnson,avery.johnson12147@example.com,Austin,South,2024-01-03,Silver,Social
C002745,Kai,Patel,kai.patel2745@example.com,Charlotte,South,2022-12-05,Gold,Paid Search
C010115,Avery,Kim,avery.kim10115@example.com,Chicago,midwest,2023-03-01,Gold,Retail Store
C002384,Riley,Smith,riley.smith2384@example.com,Dallas,South,2021-07-01,Silver,Social
C009154,Quinn,Brooks,quinn.brooks9154@example.com,Chicago,Midwest,2022-11-03,,Social
C001407,Alex,Garcia,alex.garcia1407@example.com,Detroit,Midwest,2024-08-20,,Organic
C016561,Drew,Smith,drew.smith16561@example.com,Seattle,West,2025-08-30,,Referral
C019362,Parker,Martinez,parker.martinez19362@example.com,Atlanta,South,2024-09-22,Gold,Referral
C010343,Casey,Turner,casey.turner10343@example.com,Philadelphia,Northeast,2025-05-16,Gold,Social
C027757,Riley,Lee,riley.lee27757@example.com,Boston,Northeast,2023-08-03,Silver,Organic
C017615,Quinn,Rivera,quinn.rivera17615@example.com,Phoenix,West,2021-03-13,,Social
C019907,Taylor,Rivera,taylor.rivera19907@example.com,Boston,Northeast,2024-04-29,Silver,Social
C024531,Avery,Kim,avery.kim24531@example.com,Chicago,Midwest,2023-11-17,,Paid Search
C027309,Morgan,Brooks,morgan.brooks27309@example.com,Dallas,South,2023-08-12,,Organic
C017789,Casey,Hughes,casey.hughes17789@example.com,Columbus,Midwest,2024-09-30,Silver,Referral
C013076,Taylor,Lee,taylor.lee13076@example.com,Nashville,South,2021-06-21,,Retail Store
C022090,Quinn,Turner,quinn.turner22090@example.com,Boston,Northeast,2025-09-04,,Social
C028574,Kai,Adams,kai.adams28574@example.com,New York,Northeast,2021-01-09,,Retail Store
C020569,Casey,Davis,casey.davis20569@example.com,Seattle,West,2024-01-28,,Retail Store
C017891,Drew,Lee,drew.lee17891@example.com,Philadelphia,Northeast,2024-09-03,Gold,Paid Search
C016838,Drew,Brooks,drew.brooks16838@example.com,Chicago,Midwest,2022-05-27,,Organic
C006553,Parker,Lee,parker.lee6553@example.com,Providence,Northeast,2023-08-17,Gold,Social
C019638,Emerson,Hughes,emerson.hughes19638@example.com,Chicago,Midwest,2025-06-13,Silver,Referral
C018295,Kai,Chen,kai.chen18295@example.com,New York,Northeast,2023-02-05,Gold,Paid Search
C002877,Riley,Garcia,riley.garcia2877@example.com,Detroit,Midwest,2023-07-26,Silver,Retail Store
C002983,Cameron,Davis,cameron.davis2983@example.com,Nashville,South,2022-10-29,Gold,Organic
C017411,Quinn,Hughes,quinn.hughes17411@example.com,Los Angeles,West,2021-07-29,,Referral
C015163,Cameron,Hughes,cameron.hughes15163@example.com,Dallas,South,2022-09-12,,Paid Search
C002154,Alex,Johnson,alex.johnson2154@example.com,Portland,West,2021-03-31,Silver,Referral
C018701,Cameron,Martinez,cameron.martinez18701@example.com,Philadelphia,Northeast,2021-01-25,,Organic
C007668,Avery,Turner,avery.turner7668@example.com,Detroit,Midwest,2024-04-09,Silver,Organic
C015244,Sam,Turner,sam.turner15244@example.com,Pittsburgh,Northeast,2023-08-19,,Retail Store
C016858,Avery,Garcia,avery.garcia16858@example.com,Atlanta,South,2025-09-26,,Referral
C013962,Casey,Chen,casey.chen13962@example.com,Chicago,Midwest,2021-06-23,,Referral
C000218,Riley,Adams,riley.adams218@example.com,Indianapolis,Midwest,2025-02-05,Gold,Paid Search
C023288,Drew,Garcia,drew.garcia23288@example.com,Providence,Northeast,2022-07-14,,Retail Store
C002214,Casey,Rivera,casey.rivera2214@example.com,Denver,West,2021-06-09, gold ,Organic
C006581,Alex,Garcia,alex.garcia6581@example.com,Los Angeles,West,2024-08-01,,Paid Search
C027603,Riley,Turner,riley.turner27603@example.com,Philadelphia,Northeast,2024-08-15,,Organic
C019377,Sam,Turner,sam.turner19377@example.com,Minneapolis,Midwest,2023-12-16,Silver,Retail Store
C007540,Drew,Brooks,drew.brooks7540@example.com,Nashville,South,2025-05-28,,Social
C014977,Drew,Brooks,drew.brooks14977@example.com,Boston,Northeast,2024-06-24,Silver,Social
C010129,Morgan,Rivera,morgan.rivera10129@example.com,Dallas,South,2024-07-18,Silver,Paid Search
C005706,Avery,Garcia,avery.garcia5706@example.com,Indianapolis,Midwest,2025-06-09,,Retail Store
C005954,Kai,Rivera,kai.rivera5954@example.com,Los Angeles,west,2025-06-22,,Social
C000539,Alex,Martinez,alex.martinez539@example.com,Atlanta,South,2025-01-25,,Social
C021664,Riley,Garcia,riley.garcia21664@example.com,Dallas,South,2025-09-23,,Paid Search
C021568,Casey,Martinez,casey.martinez21568@example.com,Detroit,Midwest,2022-08-17,Silver,Paid Search
C028983,Avery,Patel,avery.patel28983@example.com,Providence,Northeast,2021-02-01,Gold,Paid Search
C007428,Morgan,Lee,morgan.lee7428@example.com,New York,Northeast,2023-11-25,,Paid Search
C020726,Casey,Lee,casey.lee20726@example.com,Los Angeles,West,2023-01-21,,Organic
C004182,Casey,Patel,casey.patel4182@example.com,Pittsburgh,Northeast,2023-11-07,,Retail Store
C018702,Taylor,Kim,taylor.kim18702@example.com,Boston,Northeast,2022-12-29,,Referral
C015415,Sam,Kim,sam.kim15415@example.com,Austin,South,2025-02-13,,Social
C012155,Sam,Hughes,sam.hughes12155@example.com,New York,Northeast,2024-02-24,,Paid Search
C000580,Kai,Martinez,kai.martinez580@example.com,Charlotte,South,2023-03-04,Gold,Paid Search
C002169,Cameron,Chen,cameron.chen2169@example.com,Atlanta,South,2022-01-09,,Paid Search
C024420,Jordan,Lee,jordan.lee24420@example.com,Atlanta,South,2025-06-21,,Social
C000251,Drew,Lee,drew.lee251@example.com,Pittsburgh,Northeast,2023-12-22,,Retail Store
C015693,Taylor,Martinez,taylor.martinez15693@example.com,Portland,West,2025-09-12,,Retail Store
C009972,Drew,Rivera,drew.rivera9972@example.com,Atlanta,South,2022-06-10,Silver,Organic
C016181,Parker,Johnson,parker.johnson16181@example.com,Phoenix,West,2025-02-28,,Organic
C011490,Quinn,Davis,quinn.davis11490@example.com,Pittsburgh,Northeast,2025-05-06,,Social
C009145,Emerson,Turner,emerson.turner9145@example.com,Boston,Northeast,2022-04-29,Silver,Social
C029433,Avery,Johnson,avery.johnson29433@example.com,Detroit,Midwest,2024-08-09,,Retail Store
C025791,Casey,Hughes,casey.hughes25791@example.com,Dallas,South,2022-12-31,Silver,Paid Search
C005772,Emerson,Lee,emerson.lee5772@example.com,Portland,West,2023-06-19,Platinum,Organic
C026747,Morgan,Davis,morgan.davis26747@example.com,Dallas,South,2024-01-04,Silver,Organic
C002326,Alex,Brooks,alex.brooks2326@example.com,Chicago,Midwest,2021-01-01,Platinum,Organic
C015431,Alex,Hughes,alex.hughes15431@example.com,Charlotte,South,2022-06-23,Gold,Organic
C000431,Casey,Hughes,casey.hughes431@example.com,Providence,Northeast,2024-08-03,,Retail Store
C010769,Parker,Martinez,parker.martinez10769@example.com,Columbus,Midwest,2022-03-26,,Retail Store
C002533,Jordan,Chen,jordan.chen2533@example.com,Minneapolis,Midwest,2023-04-29,Silver,Referral
C002458,Cameron,Davis,cameron.davis2458@example.com,Los Angeles,West,2024-08-30,,Organic
C019187,Morgan,Patel,morgan.patel19187@example.com,Charlotte,South,2021-03-24,,Retail Store
C027236,Drew,Lee,drew.lee27236@example.com,Detroit,Midwest,2023-11-21,,Referral
C022292,Alex,Garcia,alex.garcia22292@example.com,Pittsburgh,Northeast,2023-12-03,,Organic
C011213,Kai,Lee,kai.lee11213@example.com,Philadelphia,Northeast,2024-10-05,,Retail Store
C000506,Sam,Patel,sam.patel506@example.com,Portland,West,2025-05-30,,Retail Store
C023113,Riley,Davis,riley.davis23113@example.com,Nashville,South,2024-01-12,,Referral
C018780,Morgan,Smith,morgan.smith18780@example.com,Seattle,West,2021-06-18,Silver,Paid Search
C019083,Taylor,Rivera,taylor.rivera19083@example.com,Dallas,South,2024-06-07,,Referral
C017895,Morgan,Patel,morgan.patel17895@example.com,Los Angeles,West,2024-09-15,,Referral
C019007,Avery,Kim,avery.kim19007@example.com,Detroit,Midwest,2023-03-01,Silver,Social
C019691,Taylor,Lee,taylor.lee19691@example.com,Atlanta,South,2023-11-17,,Organic
C027094,Jordan,Brooks,jordan.brooks27094@example.com,Los Angeles,West,2021-06-09,Gold,Paid Search
C023180,Jordan,Hughes,jordan.hughes23180@example.com,Columbus,Midwest,2021-06-27,Gold,Organic
C012627,Kai,Kim,kai.kim12627@example.com,Atlanta,South,2021-02-06,,Organic
C003835,Taylor,Rivera,taylor.rivera3835@example.com,Boston,Northeast,2023-08-20,,Paid Search
C001331,Kai,Kim,kai.kim1331@example.com,Portland,West,2023-03-08,Gold,Referral
C021467,Quinn,Johnson,quinn.johnson21467@example.com,Denver,West,2021-04-18,,Referral
C023829,Emerson,Adams,emerson.adams23829@example.com,Seattle,West,2025-03-18,Silver,Social
C002542,Drew,Martinez,drew.martinez2542@example.com,Charlotte,South,2023-01-31,Platinum,Retail Store
C028613,Jordan,Smith,jordan.smith28613@example.com,New York,Northeast,2023-05-09,,Paid Search
C021996,Cameron,Hughes,cameron.hughes21996@example.com,Charlotte,South,2022-09-13,Gold,Referral
C011900,Sam,Smith,sam.smith11900@example.com,Boston,Northeast,2023-04-16,,Paid Search
C025873,Emerson,Brooks,emerson.brooks25873@example.com,Portland,West,2022-02-24,Platinum,Paid Search
C026226,Parker,Davis,parker.davis26226@example.com,Indianapolis,Midwest,2024-07-19,Silver,Organic
C015806,Cameron,Lee,cameron.lee15806@example.com,Atlanta,South,2022-10-16,Silver,Referral
C009556,Drew,Brooks,drew.brooks9556@example.com,Indianapolis,Midwest,2022-05-02,,Referral
C007568,Alex,Lee,alex.lee7568@example.com,Detroit,Midwest,2025-06-11,Silver,Paid Search
C003508,Cameron,Turner,cameron.turner3508@example.com,Atlanta,South,2021-07-29,Gold,Paid Search
C008835,Jordan,Johnson,jordan.johnson8835@example.com,Seattle,West,2025-09-18,Platinum,Social
C018785,Jordan,Hughes,jordan.hughes18785@example.com,Nashville,South,2022-10-23,Silver,Organic
C029858,Taylor,Kim,taylor.kim29858@example.com,Nashville,South,2024-09-16,Silver,Paid Search
C023588,Avery,Martinez,avery.martinez23588@example.com,Dallas,South,2021-02-24,,Retail Store
C028268,Parker,Patel,parker.patel28268@example.com,Atlanta,South,2024-11-21,Platinum,Social
C005845,Kai,Smith,kai.smith5845@example.com,New York,Northeast,2021-02-23,Gold,Social
C026477,Morgan,Garcia,morgan.garcia26477@example.com,Los Angeles,West,2022-02-03,,Organic
C024199,Avery,Brooks,avery.brooks24199@example.com,Phoenix,West,2022-03-27,Silver,Organic
C028882,Parker,Smith,parker.smith28882@example.com,Nashville,South,2021-04-23,Silver,Paid Search
C004846,Alex,Patel,alex.patel4846@example.com,Boston,Northeast,2021-01-01,,Social
C004986,Sam,Johnson,sam.johnson4986@example.com,Providence,Northeast,2022-08-21,Silver,Paid Search
C023400,Parker,Garcia,parker.garcia23400@example.com,Portland,West,2025-08-20,Silver,Paid Search
C025570,Sam,Turner,sam.turner25570@example.com,Nashville,South,2023-05-18,Silver,Retail Store
C020263,Drew,Martinez,drew.martinez20263@example.com,Detroit,Midwest,2021-07-22,,Social
C020857,Casey,Patel,casey.patel20857@example.com,Nashville,South,2025-09-18,,Organic
C026823,Quinn,Davis,quinn.davis26823@example.com,Chicago,Midwest,2023-05-14,Gold,Referral
C009318,Kai,Johnson,kai.johnson9318@example.com,Indianapolis,Midwest,2025-11-11,,Social
C025507,Emerson,Turner,emerson.turner25507@example.com,Atlanta,South,2023-08-30,Gold,Paid Search
C014848,Kai,Adams,kai.adams14848@example.com,Nashville,South,2021-02-20,,Social
C007843,Morgan,Lee,morgan.lee7843@example.com,Denver,West,2022-08-09,,Social
C028648,Quinn,Chen,quinn.chen28648@example.com,Dallas,South,2023-04-23,Silver,Organic
C029985,Quinn,Johnson,quinn.johnson29985@example.com,Denver,West,2021-10-14,,Paid Search
C013049,Avery,Turner,avery.turner13049@example.com,Portland,West,2024-03-12,Gold,Referral
C025100,Casey,Davis,casey.davis25100@example.com,Nashville,South,2024-11-15,Silver,Paid Search
C014857,Avery,Garcia,avery.garcia14857@example.com,Columbus,Midwest,2025-02-06,Silver,Referral
C025014,Quinn,Martinez,quinn.martinez25014@example.com,Indianapolis,Midwest,2023-04-26,,Organic
C010740,Cameron,Davis,cameron.davis10740@example.com,New York,Northeast,2022-05-27,,Retail Store
C016095,Quinn,Turner,quinn.turner16095@example.com,Detroit,Midwest,2025-09-17,,Referral
C002209,Sam,Davis,sam.davis2209@example.com,Portland,West,2024-07-06,Gold,Referral
C018841,Casey,Smith,casey.smith18841@example.com,Pittsburgh,Northeast,2021-01-03,Silver,Paid Search
C028273,Jordan,Chen,jordan.chen28273@example.com,Dallas,South,2025-07-18,,Social
C022373,Alex,Rivera,alex.rivera22373@example.com,Portland,West,2025-08-30,Gold,Organic
C002267,Jordan,Brooks,jordan.brooks2267@example.com,Charlotte,South,2024-10-28,Platinum,Paid Search
C005227,Emerson,Kim,emerson.kim5227@example.com,Columbus,Midwest,2023-08-03,,Organic
C028302,Riley,Martinez,riley.martinez28302@example.com,Seattle,West,2021-09-12,,Organic
C021579,Casey,Turner,casey.turner21579@example.com,Nashville,South,2024-03-17,Silver,Referral
C020123,Cameron,Turner,cameron.turner20123@example.com,Pittsburgh,Northeast,2021-03-09,,Organic
C017893,Morgan,Chen,morgan.chen17893@example.com,Dallas,South,2022-11-08,Platinum,Organic
C020928,Emerson,Davis,emerson.davis20928@example.com,Nashville,South,2025-04-09,Platinum,Retail Store
C013023,Sam,Martinez,sam.martinez13023@example.com,Austin,South,2024-06-26,Gold,Organic
C020737,Parker,Hughes,parker.hughes20737@example.com,Columbus,Midwest,2024-02-20,,Retail Store
C027367,Riley,Johnson,riley.johnson27367@example.com,Indianapolis,Midwest,2022-12-29,,Paid Search
C011741,Parker,Lee,parker.lee11741@example.com,Atlanta,South,2022-09-09,Silver,Organic
C006548,Jordan,Turner,jordan.turner6548@example.com,Dallas,South,2023-09-21,,Paid Search
C003283,Alex,Turner,alex.turner3283@example.com,Dallas,South,2022-12-19,Silver,Organic
C015615,Avery,Brooks,avery.brooks15615@example.com,Los Angeles,West,2023-01-10,Gold,Referral
C023662,Sam,Brooks,sam.brooks23662@example.com,Boston,Northeast,2024-09-27,Silver,Paid Search
C002277,Emerson,Lee,emerson.lee2277@example.com,Phoenix,West,2021-04-09,,Paid Search
C026051,Avery,Smith,avery.smith26051@example.com,Portland,West,2023-11-26,Silver,Organic
C012355,Quinn,Adams,quinn.adams12355@example.com,Austin,South,2022-08-26,,Paid Search
C016486,Quinn,Brooks,quinn.brooks16486@example.com,Charlotte,South,2021-01-23,,Retail Store
C019536,Parker,Smith,parker.smith19536@example.com,Pittsburgh,Northeast,2022-12-14,,Social
C018674,Parker,Turner,parker.turner18674@example.com,Detroit,Midwest,2024-04-19,,Paid Search
C008697,Drew,Smith,drew.smith8697@example.com,Denver,West,2025-01-29,,Social
C022565,Cameron,Adams,cameron.adams22565@example.com,Portland,West,2023-12-29,Gold,Organic
C016380,Cameron,Patel,cameron.patel16380@example.com,Austin,South,2022-05-09,Gold,Social
C025295,Jordan,Adams,jordan.adams25295@example.com,Providence,Northeast,2022-06-29,,Referral
C028681,Alex,Garcia,alex.garcia28681@example.com,Philadelphia,Northeast,2024-08-30,,Organic
C024992,Taylor,Smith,taylor.smith24992@example.com,Denver,West,2021-09-12,Silver,Organic
C029670,Drew,Patel,drew.patel29670@example.com,Los Angeles,West,2024-12-22,,Organic
C005837,Cameron,Turner,cameron.turner5837@example.com,Providence,Northeast,2025-11-10,,Referral
C010236,Emerson,Garcia,emerson.garcia10236@example.com,Pittsburgh,Northeast,2023-07-09,Gold,Retail Store
C022825,Casey,Rivera,casey.rivera22825@example.com,Columbus,Midwest,2024-02-15,Silver,Organic
C000280,Morgan,Kim,morgan.kim280@example.com,Columbus,Midwest,2021-01-29,,Paid Search
C022377,Alex,Lee,alex.lee22377@example.com,Portland,West,2022-09-24,,Referral
C025274,Quinn,Hughes,quinn.hughes25274@example.com,Portland,West,2021-06-13,Gold,Referral
C005161,Morgan,Smith,morgan.smith5161@example.com,Nashville,South,2021-12-07,,Social
C029753,Taylor,Patel,taylor.patel29753@example.com,Atlanta,South,2023-01-23,,Social
C003691,Casey,Garcia,casey.garcia3691@example.com,Phoenix,West,2022-05-19,Silver,Paid Search
C005916,Jordan,Lee,jordan.lee5916@example.com,Seattle,West,2021-11-21,,Organic
C011579,Parker,Hughes,parker.hughes11579@example.com,Indianapolis,Midwest,2023-11-14,Gold,Social
C018079,Parker,Adams,parker.adams18079@example.com,Providence,Northeast,2024-12-22,,Paid Search
C019537,Cameron,Johnson,cameron.johnson19537@example.com,Atlanta,South,2023-10-09,Silver,Paid Search
C026024,Casey,Turner,casey.turner26024@example.com,New York,Northeast,2023-11-22,,Social
C029720,Quinn,Davis,quinn.davis29720@example.com,New York,Northeast,2025-07-02,,Organic
C021740,Morgan,Kim,morgan.kim21740@example.com,Detroit,Midwest,2022-02-07,Silver,Organic
C025744,Riley,Davis,riley.davis25744@example.com,Pittsburgh,Northeast,2021-06-15,,Paid Search
C020553,Avery,Turner,avery.turner20553@example.com,Minneapolis,Midwest,2021-06-29,,Referral
C011703,Kai,Brooks,kai.brooks11703@example.com,Portland,West,2021-06-19,,Organic
C011515,Drew,Adams,drew.adams11515@example.com,Los Angeles,West,2024-07-30,Platinum,Organic
C009007,Alex,Martinez,alex.martinez9007@example.com,Phoenix,West,2023-01-28,Silver,Paid Search
